epoch,train_loss,val_loss,psnr,ssim,lr
45,22.82420539855957,13.148871803283692,tensor(0.8843),tensor(22.4418),0.0001
46,22.321884155273438,13.067201137542725,tensor(0.8862),tensor(22.3205),0.0001
47,22.972941207885743,13.045014953613281,tensor(0.8878),tensor(22.1968),0.0001
48,21.86371841430664,12.993441534042358,tensor(0.8869),tensor(22.1833),0.0001
49,21.392675399780273,12.976778054237366,tensor(0.8878),tensor(22.1546),0.0001
50,20.991038513183593,12.910514545440673,tensor(0.8899),tensor(21.9253),0.0001
51,20.420300674438476,12.872480010986328,tensor(0.8898),tensor(21.9396),0.0001
52,20.16780891418457,12.89690034389496,tensor(0.8907),tensor(21.7984),0.0001
53,20.020532608032227,12.813463068008422,tensor(0.8925),tensor(21.6520),0.0001
54,20.417130279541016,12.720564675331115,tensor(0.8925),tensor(21.6594),0.0001
55,19.931708145141602,12.667901277542114,tensor(0.8934),tensor(21.4733),0.0001
56,20.07834587097168,12.621239352226258,tensor(0.8936),tensor(21.4274),0.0001
57,20.23421287536621,12.569511127471923,tensor(0.8950),tensor(21.3282),0.0001
58,19.712650299072266,12.517212796211243,tensor(0.8953),tensor(21.2249),0.0001
59,19.51259365081787,12.517287635803223,tensor(0.8959),tensor(21.1763),0.0001
60,19.04727840423584,12.454942893981933,tensor(0.8966),tensor(21.0445),0.0001
61,19.188661193847658,12.629055261611938,tensor(0.8970),tensor(21.3208),0.0001
62,18.980287551879883,12.520552062988282,tensor(0.8979),tensor(21.0648),0.0001
63,18.850708961486816,12.375550651550293,tensor(0.8986),tensor(20.8639),0.0001
64,18.811794662475585,12.393881702423096,tensor(0.8972),tensor(20.8423),0.0001
65,18.976989364624025,12.234532070159911,tensor(0.9001),tensor(20.6826),0.0001
66,18.92170524597168,12.19282636642456,tensor(0.8999),tensor(20.6013),0.0001
67,18.578829956054687,12.168458652496337,tensor(0.9018),tensor(20.5487),0.0001
68,18.47512092590332,12.17002992630005,tensor(0.9001),tensor(20.4922),0.0001
69,18.591599655151366,12.136263847351074,tensor(0.9034),tensor(20.4617),0.0001
70,18.435461807250977,12.066119718551636,tensor(0.9024),tensor(20.3278),0.0001
71,18.22826042175293,12.174792551994324,tensor(0.9021),tensor(20.4119),0.0001
72,18.31978073120117,12.114712452888488,tensor(0.9033),tensor(20.3902),0.0001
73,18.20834732055664,12.091858601570129,tensor(0.9033),tensor(20.3111),0.0001
74,18.326436614990236,12.024985909461975,tensor(0.9042),tensor(20.2431),0.0001
75,18.489935684204102,12.015152668952942,tensor(0.9059),tensor(20.2157),0.0001
76,18.114091682434083,11.939505672454834,tensor(0.9061),tensor(20.0668),0.0001
77,18.126867294311523,12.038361477851868,tensor(0.9035),tensor(20.2386),0.0001
